,Name,Year_Inducted
0,Roy Acuff, 1962 
1,Alabama, 2005 
2,Bill Anderson, 2001 
3,Eddy Arnold, 1966 
4,Chet Atkins, 1973 
5,Gene Autry, 1969 
6,DeFord Bailey, 2005 
7,Bobby Bare, 2013 
8,Johnny Bond, 1999 
9,Bobby Braddock, 2011 
10,Harold Bradley, 2006 
11,Jerry Bradley, 2019 
12,Owen Bradley, 1974 
13,Rod Brasfield, 1987 
14,Garth Brooks, 2012 
15,Brooks & Dunn, 2019 
16,Jim Ed Brown, 2015 
17,Jim Ed Brown and the Browns, 2015 
18,Boudleaux and Felice Bryant, 1991 
19,Glen Campbell, 2005 
20,Bill Carlisle, 2002 
21,Carter Family, 1970 
22,Johnny Cash, 1980 
23,Roy Clark, 2009 
24,Cowboy Jack Clement, 2013 
25,Patsy Cline, 1973 
26,Hank Cochran, 2014 
27,Paul Cohen, 1976 
28,Floyd Cramer, 2003 
29,Vernon Dalhart, 1981 
30,Charlie Daniels, 2016 
31,Jimmie Davis, 1972 
32,Jimmy Dean, 2010 
33,Delmore Brothers, 2001 
34,Jim Denny, 1966 
35,Little Jimmy Dickens, 1983 
36,Ralph Emery, 2007 
37,The Everly Brothers, 2001 
38,Flatt And Scruggs, 1985 
39,Jim Foglesong, 2004 
40,Red Foley, 1967 
41,Tennessee Ernie Ford, 1990 
42,Fred Foster, 2016 
43,Joseph Frank, 1967 
44,Lefty Frizzell, 1982 
45,Connie B. Gay, 1980 
46,Don Gibson, 2001 
47,Vince Gill, 2007 
48,Johnny Gimble, 2018 
49,Merle Haggard, 1994 
50,Tom T. Hall, 2008 
51,Emmylou Harris, 2008 
52,George D. Hay, 1966 
53,Homer and Jethro, 2001 
54,Roy Horton, 1982 
55,Harlan Howard, 1997 
56,Ferlin Husky, 2010 
57,Alan Jackson, 2017 
58,Sonny James, 2006 
59,Waylon Jennings, 2001 
60,George Jones, 1992 
61,Grandpa Jones, 1978 
62,Jordanaires, 2001 
63,Pee Wee King, 1974 
64,Kris Kristofferson, 2004 
65,Don Law, 2001 
66,Brenda Lee, 1997 
67,Hubert Long, 1979 
68,The Louvin Brothers, 2001 
69,Loretta Lynn, 1988 
70,Uncle David Macon, 1966 
71,Barbara Mandrell, 2009 
72,Grady Martin, 2015 
73,Charlie McCoy, 2009 
74,Reba McEntire, 2011 
75,Roger Miller, 1995 
76,Ronnie Milsap, 2014 
77,Bill Monroe, 1970 
78,Patsy Montana, 1996 
79,George Morgan, 1998 
80,Ken Nelson, 2001 
81,Willie Nelson, 1993 
82,Oak Ridge Boys, 2015 
83,Buck Owens, 1996 
84,Dolly Parton, 1999 
85,Minnie Pearl, 1975 
86,Ralph Peer, 1984 
87,Sam Phillips, 2001 
88,Webb Pierce, 2001 
89,Elvis Presley, 1998 
90,Frances Preston, 1992 
91,Ray Price, 1996 
92,Charley Pride, 2000 
93,​Jerry Reed, 2017 
94,Jim Reeves, 1967 
95,Tex Ritter, 1964 
96,Hargus “Pig” Robbins, 2012 
97,Marty Robbins, 1982 
98,Jimmie Rodgers, 1961 
99,Kenny Rogers, 2013 
100,Roy Rogers, 1988 
101,Fred Rose, 1961 
102,Wesley Rose, 1986 
103,Arthur E. Satherley, 1971 
104,Don Schlitz, 2017 
105,Jean Shepard, 2011 
106,Billy Sherrill, 2010 
107,Stephen Sholes, 1967 
108,Ricky Skaggs, 2018 
109,Carl Smith, 2003 
110,Connie Smith, 2012 
111,Hank Snow, 1979 
112,Sons of the Pioneers, 1980 
113,Jack Stapp, 1989 
114,Ray Stevens, 2019 
115,Cliffie Stone, 1989 
116,Ernest V. “Pop” Stoneman, 2008 
117,George Strait, 2006 
118,The Duke of Paducah, 1986 
119,The Statler Brothers, 2008 
120,Hank Thompson, 1989 
121,Mel Tillis, 2007 
122,Floyd Tillman, 1984 
123,Merle Travis, 1977 
124,Randy Travis, 2016 
125,Ernest Tubb, 1965 
126,Grant Turner, 1981 
127,Conway Twitty, 1999 
128,Porter Wagoner, 2002 
129,Cindy Walker, 1997 
130,Jo Walker-Meador, 1995 
131,Kitty Wells, 1976 
132,E. W. “Bud” Wendell, 1998 
133,Dottie West, 2018 
134,Don Williams, 2010 
135,Hank Williams, 1961 
136,Bob Wills, 1968 
137,Mac Wiseman, 2014 
138,Tammy Wynette, 1998 
139,Faron Young, 2000 
